color_index,display_name,material,render_profile,shader,textures,opacity,main_color,status,pickup_prefab,pickup_references,material_references,recommendation
25,Conquistador,Resources/parts/partpalets/Donald.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/donalds.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color25.prefab,GameObject/ColorCapsule25Data.prefab,GameObject/Color25.prefab; GameObject/ColorGUI.prefab; GameObject/Elite.prefab; GameObject/Hermit.prefab,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/DrillAbilityColor.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/DrillAbilityColor.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/drillEffect.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
2,Electro Circus,Resources/parts/partpalets/DrillBossMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/drillboss.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color2.prefab,GameObject/ColorCapsule2Data.prefab,GameObject/ArenaFighter5.prefab; GameObject/Color2.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_DrillBoss.prefab; GameObject/DefaultBoxer.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl2ChestData.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/boss.prefab; Scenes/Lvl0_ElectroCaves/Lvl0Fight.unity,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/FinalBossMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/FinalBoss.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",未登记且未发现外部引用,,,,未实装/孤立资源候选；需要运行时预览
18,Sweet Revenge,Resources/parts/partpalets/Fruit.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/fruity.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color18.prefab,GameObject/ColorCapsule18Data.prefab,GameObject/Color18.prefab; GameObject/ColorGUI.prefab; GameObject/ScaredGuy.prefab,正常内容；仍需运行时核对实际关卡入口
27,Flavor No.1,Resources/parts/partpalets/Gold.mat,高光/金属质感,Shader/Normal-Glossy.shader,Resources/parts/partpalets/textures/gold.png,1,"{r: 1, g: 0.92401624, b: 0.22388059, a: 1}",正式登记且存在获取引用,GameObject/Color27.prefab,GameObject/ColorCapsule27Data.prefab,GameObject/Color27.prefab; GameObject/ColorGUI.prefab,正常内容；仍需运行时核对实际关卡入口
12,Mega Mint,Resources/parts/partpalets/greenbeigeMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/greenbeige.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color12.prefab,GameObject/ColorCapsule12Data.prefab,GameObject/Color12.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_Wk_GreenBeige.prefab; GameObject/friendNPC.prefab,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/greenblueMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/greenblue.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/ArenaFighter3.prefab; GameObject/Lvl4CupidIceFamily.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
24,Burocratica,Resources/parts/partpalets/Grey.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/gray.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color24.prefab,GameObject/ColorCapsule24Data.prefab,GameObject/Color24.prefab; GameObject/ColorGUI.prefab; GameObject/CybraFamily_ancientTech.prefab; GameObject/Digger.prefab; GameObject/Lvl5CupidSteamFamily.prefab,正常内容；仍需运行时核对实际关卡入口
19,Nuclear System,Resources/parts/partpalets/Hutch.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/hutch.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color19.prefab,GameObject/ColorCapsule19Data.prefab,GameObject/Color19.prefab; GameObject/ColorGUI.prefab,正常内容；仍需运行时核对实际关卡入口
26,New Jack Swing,Resources/parts/partpalets/Kawaii.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/Cuto.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color26.prefab,GameObject/ColorCapsule26Data.prefab,GameObject/Color26.prefab; GameObject/ColorGUI.prefab,正常内容；仍需运行时核对实际关卡入口
20,Magma Volta,Resources/parts/partpalets/Lava.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/lava.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color20.prefab,GameObject/ColorCapsule20Data.prefab,GameObject/BombMan.prefab; GameObject/Color20.prefab; GameObject/ColorGUI.prefab; GameObject/LittleDyK 1.prefab; GameObject/LittleDyK 2.prefab; GameObject/LittleDyK 3.prefab; GameObject/LittleDyK 4.prefab; GameObject/LittleDyK 5.prefab; GameObject/LittleDyK 6.prefab; GameObject/LittleDyK 7.prefab; GameObject/LittleDyK 8.prefab; GameObject/LittleDyK.prefab,正常内容；仍需运行时核对实际关卡入口
3,Killer's Grey,Resources/parts/partpalets/lightbluedarkblueMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/lightbluedarkblue.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color3.prefab,GameObject/ColorCapsule3Data.prefab,GameObject/Color3.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_LightblueDarkblue.prefab; GameObject/Lvl2CupidSmithFamily.prefab,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/lightgreenbeigeMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/lightgreenbeige.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/TutorialNPCwalljump.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
28,Slick Samba,Resources/parts/partpalets/MintLemon.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/MintLemon.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color28.prefab,GameObject/ColorCapsule28Data.prefab,GameObject/Ambassador.prefab; GameObject/Color28.prefab; GameObject/ColorGUI.prefab; GameObject/HermitsNeighbor.prefab,正常内容；仍需运行时核对实际关卡入口
17,Midnight Shock,Resources/parts/partpalets/NightShade.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/Derknight.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color17.prefab,GameObject/ColorCapsule17Data.prefab,GameObject/Color17.prefab; GameObject/ColorGUI.prefab; GameObject/DamageMan.prefab; GameObject/riddleNPC.prefab,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/orangeyellow2Mat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/orangeyellow2.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/Lvl4WrenchIceFamily.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
4,Meteor Yellow,Resources/parts/partpalets/orangeyellowMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/orangeyellow.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color4.prefab,GameObject/ColorCapsule4Data.prefab,GameObject/Color4.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_OrangeYellow.prefab; GameObject/DefaultGeoka.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/angryNPC.prefab,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/pinkbrownMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/pinkbrown.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",未登记且未发现外部引用,,,,未实装/孤立资源候选；需要运行时预览
21,Venom Magnetizer,Resources/parts/partpalets/Poison.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/poison.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color21.prefab,GameObject/ColorCapsule21Data.prefab,GameObject/Color21.prefab; GameObject/ColorGUI.prefab; GameObject/HermitsNeighbor_pet.prefab; GameObject/VirusMan.prefab,正常内容；仍需运行时核对实际关卡入口
5,Psychic Purple,Resources/parts/partpalets/PsychicBossMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/PsychicBoss.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color5.prefab,GameObject/ColorCapsule5Data.prefab,GameObject/ArenaFighter7.prefab; GameObject/Color5.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_PsychicBoss.prefab; GameObject/EndlessFriendlySkelly.prefab; GameObject/EndlessSkelly.prefab; GameObject/Leon.prefab; GameObject/LeonFight.prefab; GameObject/LeonNPC.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/MBChestData.prefab; GameObject/PsychicBoss.prefab; GameObject/Skelly_Halloween.prefab; Resources/parts/bodyparts/miscArm_Blaster.prefab; Resources/parts/bodyparts/subArmShield.prefab; Resources/parts/bodyparts/subHead.prefab; Resources/parts/bodyparts/subLeg.prefab; Scenes/Lvl2_AncientTechRuins/Lvl2Fight.unity,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/purplelightblueMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/purplelightblue.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/IceBoss_Claw.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/MissileMan.prefab; GameObject/wiseNPC.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
6,Fabulous Puncher,Resources/parts/partpalets/purpleorangeMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/purpleorange.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color6.prefab,GameObject/ColorCapsule6Data.prefab,GameObject/Color6.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_PurpleOrange.prefab,正常内容；仍需运行时核对实际关卡入口
7,Imperial Ember,Resources/parts/partpalets/RangedBossMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/RangeBoss.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color7.prefab,GameObject/ColorCapsule7Data.prefab,GameObject/Color7.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_RangedBoss.prefab; GameObject/DrillDoom.prefab; GameObject/EndlessSteamSoldier.prefab; GameObject/FinalBossPhase2.prefab; GameObject/GeneralHB03.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/Lvl5CupidSteamFamily.prefab; GameObject/Lvl5FlyFamily.prefab; GameObject/Lvl5KachookFamily.prefab; GameObject/RangedBoss.prefab; GameObject/RareSoldier.prefab; GameObject/SoldierNPC.prefab; GameObject/SteamSoldierMinion.prefab; GameObject/SteamSoldierTalk.prefab; GameObject/finalBossPhase1.prefab; GameObject/finalBossPhase1Talk.prefab; GameObject/rival.prefab; GameObject/rivalLvlNPC.prefab; Resources/parts/bodyparts/DrillBossArmDrill.prefab; Resources/parts/bodyparts/FalcionHead.prefab; Resources/parts/bodyparts/GhostHelmetHead.prefab; Resources/parts/bodyparts/KoekenpanHead.prefab; Resources/parts/bodyparts/PlateArm.prefab; Resources/parts/bodyparts/PlateChest.prefab; Resources/parts/bodyparts/PlateHip.prefab; Resources/parts/bodyparts/PlateLeg.prefab; Resources/parts/bodyparts/RangedBossHead.prefab; Resources/parts/bodyparts/SkellyBossShld.prefab; Resources/parts/bodyparts/bombHead.prefab; Resources/parts/bodyparts/flyHead.prefab; Scenes/Lvl1_LostMegaclopolis/Lvl1Fight.unity; Scenes/Lvl5_Steampump/Lvl5Fight.unity; Scenes/Lvl6_FinalBoss/Lvl6Fight0.unity; Scenes/Lvl6_FinalBoss/Lvl6Fight1.unity,正常内容；仍需运行时核对实际关卡入口
8,Strawberry Strike,Resources/parts/partpalets/redblueMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/redblue.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color8.prefab,GameObject/ColorCapsule8Data.prefab,GameObject/Color8.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_RedBlue.prefab; GameObject/FrostSoldiers.prefab; GameObject/Guards.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl0WrenchFamily.prefab; GameObject/LvlHidden_Guard.prefab; GameObject/Skelly.prefab; GameObject/SteamSoldier.prefab; GameObject/TriggerSkellyHub.prefab,正常内容；仍需运行时核对实际关卡入口
23,Red Circuitry,Resources/parts/partpalets/RedCircuit.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/RedCircuit.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color23.prefab,GameObject/ColorCapsule23Data.prefab,GameObject/Color23.prefab; GameObject/ColorGUI.prefab; GameObject/CybraFamily_binary.prefab; GameObject/Jumper.prefab,正常内容；仍需运行时核对实际关卡入口
22,Lethal Impact,Resources/parts/partpalets/rocket.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/missilecolors.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color22.prefab,GameObject/ColorCapsule22Data.prefab,GameObject/BuildDummy.prefab; GameObject/Color22.prefab; GameObject/ColorGUI.prefab; GameObject/MiniMegac.prefab; GameObject/Player.prefab; GameObject/clone.prefab; GameObject/littleNPC.prefab,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/salmonpurpleMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/salmonpurple.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/BitChestData.prefab; GameObject/Dice.prefab; GameObject/DrillWrench.prefab; GameObject/Lvl2KachookFamily.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
29,Tesla Deluxe,Resources/parts/partpalets/SkellyBossMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/SkellyBoss.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color29.prefab,GameObject/ColorCapsule29Data.prefab,GameObject/Color29.prefab; GameObject/ColorGUI.prefab; GameObject/Lvl3BatFamily.prefab; GameObject/Lvl3KachookFamily.prefab; GameObject/MinionSkelly.prefab; GameObject/SkellyBoss.prefab; GameObject/shopNPC.prefab; GameObject/shop_helperNPC.prefab; Scenes/Lvl3_SubprogramDeadlands/Lvl3Fight.unity,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/turqoisebeigeMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/turqoisebeige.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/Lvl4CupidIceFamily.prefab; GameObject/Tut_enemy2.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
15,Hydro Assault,Resources/parts/partpalets/turqoiseblueMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/turqoiseblue.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color15.prefab,GameObject/ColorCapsule15Data.prefab,GameObject/Color15.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_BlueTurqoise.prefab; GameObject/IceBoss_Missile.prefab; GameObject/Lvl4CupidIceFamily.prefab; Scenes/Lvl4_FrostbyteDeep/Lvl4Fight.unity,正常内容；仍需运行时核对实际关卡入口
9,Beta Blue,Resources/parts/partpalets/turqoiseorangeMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/turqoiseorange.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color9.prefab,GameObject/ColorCapsule9Data.prefab,GameObject/ArenaFighter6.prefab; GameObject/Color9.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_TurqoiseOrange.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl4WrenchIceFamily.prefab,正常内容；仍需运行时核对实际关卡入口
10,White Cloak,Resources/parts/partpalets/WhiteTransparant.mat,半透明动态边缘,Shader/Shader.shader,Resources/parts/partpalets/oldtextures/palletBlackBlue.png,1,"{r: 1, g: 1, b: 1, a: 0.61960787}",正式登记但未发现获取引用,GameObject/Color10.prefab,,GameObject/Color10.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_WhiteTransparant.prefab; GameObject/Ghosts.prefab; GameObject/Ghosts_megac.prefab,隐藏/不可正常获取候选；优先加入解锁器测试
14,Strong Battery,Resources/parts/partpalets/yellowturqoiseMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/yellowturqoise.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color14.prefab,GameObject/ColorCapsule14Data.prefab,GameObject/Color14.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_YellowTurqoise.prefab; GameObject/FightingSmith.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/Smith.prefab; GameObject/guideNPC.prefab,正常内容；仍需运行时核对实际关卡入口
