prefab,description_id,description_name,category,static_reference_count,static_references
Resources/parts/bodyparts/defaultChest.prefab,9,Standard Core,一般部件或已有引用,30,GameObject/FightingGuard1.prefab; GameObject/FightingGuard2.prefab; GameObject/Hermit.prefab; GameObject/HermitsNeighbor.prefab; GameObject/ScaredGuy.prefab; GameObject/TournamentNPC_customize.prefab; GameObject/TournamentNPC_customize_battle.prefab; GameObject/TournamentNPC_info.prefab; GameObject/TournamentNPC_info_battle.prefab; GameObject/TutorialNPC1First.prefab; GameObject/TutorialNPC2Fight.prefab; GameObject/TutorialNPC3Inventory.prefab; GameObject/TutorialNPC3Inventory_JS.prefab; GameObject/TutorialNPC4Ability.prefab; GameObject/TutorialNPC4Ability_JS.prefab; GameObject/TutorialNPC5Last.prefab; GameObject/TutorialNPC5Last_JS.prefab; GameObject/TutorialNPC6Block_PT.prefab; GameObject/TutorialNPC6Block_PT_JS.prefab; GameObject/TutorialNPCwalljump.prefab; GameObject/angryNPC.prefab; GameObject/friendNPC.prefab; GameObject/guard1NPC.prefab; GameObject/guard2NPC.prefab; GameObject/guard3NPC.prefab; GameObject/guard3NPC_UNUSED.prefab; GameObject/guard4NPC.prefab; GameObject/guideNPC.prefab; GameObject/hammerNPC.prefab; GameObject/rival.prefab
Resources/parts/bodyparts/defaultHead.prefab,10,Standard Head,一般部件或已有引用,13,GameObject/TutorialNPC1First.prefab; GameObject/TutorialNPC2Fight.prefab; GameObject/TutorialNPC3Inventory.prefab; GameObject/TutorialNPC3Inventory_JS.prefab; GameObject/TutorialNPC4Ability.prefab; GameObject/TutorialNPC4Ability_JS.prefab; GameObject/TutorialNPC5Last.prefab; GameObject/TutorialNPC5Last_JS.prefab; GameObject/TutorialNPCwalljump.prefab; GameObject/angryNPC.prefab; GameObject/friendNPC.prefab; GameObject/hammerNPC.prefab; GameObject/rival.prefab
Resources/parts/bodyparts/defaultHip.prefab,11,Standard Hip,一般部件或已有引用,48,GameObject/FightingGuard1.prefab; GameObject/FightingGuard2.prefab; GameObject/Hermit.prefab; GameObject/HermitsNeighbor.prefab; GameObject/HermitsNeighbor_pet.prefab; GameObject/LittleDyK 1.prefab; GameObject/LittleDyK 2.prefab; GameObject/LittleDyK 3.prefab; GameObject/LittleDyK 4.prefab; GameObject/LittleDyK 5.prefab; GameObject/LittleDyK 6.prefab; GameObject/LittleDyK 7.prefab; GameObject/LittleDyK 8.prefab; GameObject/LittleDyK.prefab; GameObject/MiniMegac.prefab; GameObject/ScaredGuy.prefab; GameObject/SoldierNPC.prefab; GameObject/TournamentNPC_block.prefab; GameObject/TournamentNPC_customize.prefab; GameObject/TournamentNPC_customize_battle.prefab; GameObject/TournamentNPC_info.prefab; GameObject/TournamentNPC_info_battle.prefab; GameObject/TutorialNPC1First.prefab; GameObject/TutorialNPC2Fight.prefab; GameObject/TutorialNPC3Inventory.prefab; GameObject/TutorialNPC3Inventory_JS.prefab; GameObject/TutorialNPC4Ability.prefab; GameObject/TutorialNPC4Ability_JS.prefab; GameObject/TutorialNPC5Last.prefab; GameObject/TutorialNPC5Last_JS.prefab; GameObject/TutorialNPC6Block_PT.prefab; GameObject/TutorialNPC6Block_PT_JS.prefab; GameObject/TutorialNPCwalljump.prefab; GameObject/angryNPC.prefab; GameObject/friendNPC.prefab; GameObject/guard1NPC.prefab; GameObject/guard2NPC.prefab; GameObject/guard3NPC.prefab; GameObject/guard3NPC_UNUSED.prefab; GameObject/guard4NPC.prefab; GameObject/guideNPC.prefab; GameObject/hammerNPC.prefab; GameObject/littleNPC.prefab; GameObject/paintNPC.prefab; GameObject/paintNPC_UNUSED.prefab; GameObject/riddleNPC.prefab; GameObject/rival.prefab; GameObject/wiseNPC.prefab
Resources/parts/bodyparts/defaultLeg.prefab,12,Standard Leg,一般部件或已有引用,34,GameObject/FightingGuard1.prefab; GameObject/FightingGuard2.prefab; GameObject/HermitsNeighbor.prefab; GameObject/HermitsNeighbor_pet.prefab; GameObject/TournamentNPC_block.prefab; GameObject/TournamentNPC_customize.prefab; GameObject/TournamentNPC_customize_battle.prefab; GameObject/TournamentNPC_info.prefab; GameObject/TournamentNPC_info_battle.prefab; GameObject/TutorialNPC1First.prefab; GameObject/TutorialNPC2Fight.prefab; GameObject/TutorialNPC3Inventory.prefab; GameObject/TutorialNPC3Inventory_JS.prefab; GameObject/TutorialNPC4Ability.prefab; GameObject/TutorialNPC4Ability_JS.prefab; GameObject/TutorialNPC5Last.prefab; GameObject/TutorialNPC5Last_JS.prefab; GameObject/TutorialNPC6Block_PT.prefab; GameObject/TutorialNPC6Block_PT_JS.prefab; GameObject/TutorialNPCwalljump.prefab; GameObject/angryNPC.prefab; GameObject/friendNPC.prefab; GameObject/guard1NPC.prefab; GameObject/guard2NPC.prefab; GameObject/guard3NPC.prefab; GameObject/guard3NPC_UNUSED.prefab; GameObject/guard4NPC.prefab; GameObject/guideNPC.prefab; GameObject/hammerNPC.prefab; GameObject/paintNPC.prefab; GameObject/paintNPC_UNUSED.prefab; GameObject/riddleNPC.prefab; GameObject/rival.prefab; GameObject/wiseNPC.prefab
Resources/parts/bodyparts/defaultShld.prefab,13,Standard Shoulder,一般部件或已有引用,31,GameObject/FightingGuard1.prefab; GameObject/FightingGuard2.prefab; GameObject/Hermit.prefab; GameObject/ScaredGuy.prefab; GameObject/TournamentNPC_block.prefab; GameObject/TournamentNPC_customize.prefab; GameObject/TournamentNPC_customize_battle.prefab; GameObject/TutorialNPC1First.prefab; GameObject/TutorialNPC2Fight.prefab; GameObject/TutorialNPC3Inventory.prefab; GameObject/TutorialNPC3Inventory_JS.prefab; GameObject/TutorialNPC4Ability.prefab; GameObject/TutorialNPC4Ability_JS.prefab; GameObject/TutorialNPC5Last.prefab; GameObject/TutorialNPC5Last_JS.prefab; GameObject/TutorialNPC6Block_PT.prefab; GameObject/TutorialNPC6Block_PT_JS.prefab; GameObject/TutorialNPCwalljump.prefab; GameObject/angryNPC.prefab; GameObject/friendNPC.prefab; GameObject/guard1NPC.prefab; GameObject/guard2NPC.prefab; GameObject/guard3NPC.prefab; GameObject/guard3NPC_UNUSED.prefab; GameObject/guard4NPC.prefab; GameObject/guideNPC.prefab; GameObject/hammerNPC.prefab; GameObject/paintNPC.prefab; GameObject/paintNPC_UNUSED.prefab; GameObject/rival.prefab; GameObject/wiseNPC.prefab
Resources/parts/bodyparts/DrillBossArm.prefab,14,Electrocrush Dyna-arm,正式收藏项（Boss命名）,6,GameObject/Dozerdude.prefab; GameObject/DrillDoom.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl4WrenchIceFamily.prefab; GameObject/ShopAbility.prefab; GameObject/boss.prefab
Resources/parts/bodyparts/DrillBossArmDrill.prefab,78,Drill Arm,正式收藏项（Boss命名）,5,GameObject/BuildDummy.prefab; GameObject/DrillWrench.prefab; GameObject/boss.prefab; GameObject/clone.prefab; Scenes/Lvl0_ElectroCaves/Lvl0Fight.unity
Resources/parts/bodyparts/DrillBossChest.prefab,15,Big Core,正式收藏项（Boss命名）,5,GameObject/Elite.prefab; GameObject/boss.prefab; GameObject/shopNPC.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/DrillBossHead.prefab,16,Rhintro Head,正式收藏项（Boss命名）,4,GameObject/Lvl0WrenchFamily.prefab; GameObject/Lvl2CupidSmithFamily.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/DrillBossHip.prefab,17,Armored Dyna-hip,正式收藏项（Boss命名）,5,GameObject/DrillDoom.prefab; GameObject/PartChestData.prefab; GameObject/ShopAbility.prefab; GameObject/boss.prefab; Scenes/FightMode/Battle/BattleCeremony.unity
Resources/parts/bodyparts/DrillBossLeg.prefab,18,Drill Leg,正式收藏项（Boss命名）,7,GameObject/ArenaFighter7.prefab; GameObject/DrillDoom.prefab; GameObject/DrillWrench.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/ShopAbility.prefab; GameObject/boss.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/DrillBossNewHead.prefab,89,Bugga Head,正式收藏项（Boss命名）,5,GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/boss.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/DrillBossShld.prefab,19,Aero Pipes,正式收藏项（Boss命名）,4,GameObject/Skelly_Halloween.prefab; GameObject/boss.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/FalcionHead.prefab,102,Cupido Head,一般部件或已有引用,6,GameObject/Dozerdude.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/Lvl4KachookFamily.prefab; GameObject/Lvl4WrenchIceFamily.prefab; GameObject/PartChestData.prefab; GameObject/SoldierNPC.prefab
Resources/parts/bodyparts/flyHead.prefab,108,Cybersky Head,一般部件或已有引用,3,GameObject/Jumper.prefab; GameObject/Lvl5FlyFamily.prefab; GameObject/Lvl5KachookFamily.prefab
Resources/parts/bodyparts/flyShld.prefab,109,Valk Empire Wing,一般部件或已有引用,5,GameObject/EndlessSteamSoldier.prefab; GameObject/Lvl5CupidSteamFamily.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/SteamSoldierTalk.prefab; GameObject/VirusMan.prefab
Resources/parts/bodyparts/FrostSoldierHead.prefab,99,Falcion Head,一般部件或已有引用,4,GameObject/Elite.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/Lvl4KachookFamily.prefab; GameObject/Lvl4WrenchIceFamily.prefab
Resources/parts/bodyparts/FrostSoldierLeg.prefab,100,Falcion  Leg,一般部件或已有引用,2,GameObject/Lvl4CupidIceFamily.prefab; GameObject/Lvl4WrenchIceFamily.prefab
Resources/parts/bodyparts/FrostSoldierShld.prefab,101,Falcion  Shoulder,一般部件或已有引用,4,GameObject/BombMan.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/MissileMan.prefab; GameObject/noScopeKing.prefab
Resources/parts/bodyparts/geokaArm.prefab,20,Imperial Blaster,一般部件或已有引用,7,GameObject/ArenaFighter5.prefab; GameObject/DefaultGeoka.prefab; GameObject/DefaultWachook.prefab; GameObject/Dozerdude.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/Lvl4WrenchIceFamily.prefab; GameObject/RareSoldier.prefab
Resources/parts/bodyparts/geokaChest.prefab,21,Polycircuit Core,一般部件或已有引用,6,GameObject/DefaultGeoka.prefab; GameObject/Dice.prefab; GameObject/Jumper.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/shop_helperNPC.prefab
Resources/parts/bodyparts/geokaHead.prefab,22,Polycircuit Head,一般部件或已有引用,6,GameObject/DefaultGeoka.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/ShopAbility.prefab; GameObject/TournamentNPC_customize.prefab; GameObject/TournamentNPC_customize_battle.prefab; GameObject/guideNPC.prefab
Resources/parts/bodyparts/geokaHip.prefab,23,Polycircuit Hip,一般部件或已有引用,3,GameObject/ArenaFighter6.prefab; GameObject/DefaultGeoka.prefab; GameObject/Lvl1CupidRangedFamily.prefab
Resources/parts/bodyparts/geokaLeg.prefab,24,Polycircuit Leg,一般部件或已有引用,4,GameObject/DefaultGeoka.prefab; GameObject/Dozerdude.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/RareSoldier.prefab
Resources/parts/bodyparts/geokaShld.prefab,25,Polycircuit Shoulder,一般部件或已有引用,10,GameObject/ArenaFighter3.prefab; GameObject/DefaultGeoka.prefab; GameObject/DefaultWachook.prefab; GameObject/DrillDoom.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/Lvl5FlyFamily.prefab; GameObject/RareSoldier.prefab; GameObject/ShopAbility.prefab; GameObject/SoldierNPC.prefab
Resources/parts/bodyparts/GhostHelmetHead.prefab,110,Ghost Soldier Head,一般部件或已有引用,5,GameObject/Digger.prefab; GameObject/HermitsNeighbor.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/ShopAbility.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/GlueGunLeg.prefab,107,Electropunk Leg,一般部件或已有引用,5,GameObject/DamageMan.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/Lvl4KachookFamily.prefab; GameObject/Lvl4WrenchIceFamily.prefab; GameObject/noScopeKing.prefab
Resources/parts/bodyparts/HoodyHead.prefab,103,Toxi Hoodi,一般部件或已有引用,6,GameObject/Ghosts.prefab; GameObject/Ghosts_megac.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/MissileMan.prefab; GameObject/ShopAbility.prefab; GameObject/VirusMan.prefab
Resources/parts/bodyparts/HoodyShld.prefab,104,Colli Hoodi,一般部件或已有引用,5,GameObject/Dozerdude.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/riddleNPC.prefab; GameObject/shopNPC.prefab; GameObject/shop_helperNPC.prefab
Resources/parts/bodyparts/IceBossArmClaw.prefab,92,Scythe Claw,正式收藏项（Boss命名）,4,GameObject/IceBoss_Claw.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/MissileMan.prefab; GameObject/PartChestData.prefab
Resources/parts/bodyparts/IceBossArmMiniRocket.prefab,93,Missile Revolver,正式收藏项（Boss命名）,4,GameObject/GeneralHB03.prefab; GameObject/IceBoss_Missile.prefab; GameObject/MissileMan.prefab; Scenes/Lvl4_FrostbyteDeep/Lvl4Fight.unity
Resources/parts/bodyparts/IceBossChest.prefab,94,Frostbyte Core,正式收藏项（Boss命名）,8,GameObject/CybraFamily.prefab; GameObject/DamageMan.prefab; GameObject/IceBoss_Claw.prefab; GameObject/IceBoss_Missile.prefab; GameObject/noScopeKing.prefab; GameObject/riddleNPC.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/IceBossHead.prefab,95,Ice-Beak Head,正式收藏项（Boss命名）,5,GameObject/IceBoss_Claw.prefab; GameObject/IceBoss_Missile.prefab; GameObject/Lvl4WrenchIceFamily.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/IceBossHip.prefab,96,Frostbyte Hip,正式收藏项（Boss命名）,4,GameObject/IceBoss_Claw.prefab; GameObject/IceBoss_Missile.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/IceBossLeg.prefab,97,Frostbyte Leg,正式收藏项（Boss命名）,4,GameObject/Ambassador.prefab; GameObject/IceBoss_Claw.prefab; GameObject/IceBoss_Missile.prefab; GameObject/Lvl4CupidIceFamily.prefab
Resources/parts/bodyparts/IceBossShld.prefab,98,Frostbyte Shoulder,正式收藏项（Boss命名）,8,GameObject/IceBoss_Claw.prefab; GameObject/IceBoss_Missile.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/ShopAbility.prefab; GameObject/TournamentNPC_info.prefab; GameObject/TournamentNPC_info_battle.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/KnuckleArm.prefab,79,Cadion Arm,一般部件或已有引用,2,GameObject/Lvl4CupidIceFamily.prefab; GameObject/Lvl4WrenchIceFamily.prefab
Resources/parts/bodyparts/KnuckleChest.prefab,80,Cadion Core,一般部件或已有引用,2,GameObject/Lvl4CupidIceFamily.prefab; GameObject/SoldierNPC.prefab
Resources/parts/bodyparts/KnuckleHead.prefab,81,Cadion Head,一般部件或已有引用,3,GameObject/Lvl2KachookFamily.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/Tank.prefab
Resources/parts/bodyparts/KnuckleHip.prefab,82,Cadion Hip,一般部件或已有引用,1,GameObject/Lvl4CupidIceFamily.prefab
Resources/parts/bodyparts/KnuckleLeg.prefab,83,Cadion Leg,一般部件或已有引用,2,GameObject/Lvl4CupidIceFamily.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/KnuckleShld.prefab,84,Cadion Shoulder,一般部件或已有引用,2,GameObject/Digger.prefab; GameObject/Lvl4CupidIceFamily.prefab
Resources/parts/bodyparts/KoekenpanHead.prefab,111,Madpot Head,一般部件或已有引用,4,GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/Lvl5FlyFamily.prefab; Scenes/Lvl6_FinalBoss/Lvl6Fight0.unity; Scenes/Lvl6_FinalBoss/Lvl6Fight1.unity
Resources/parts/bodyparts/LCDHead.prefab,148,LCD Head,一般部件或已有引用,3,GameObject/PartChestData.prefab; GameObject/ShopAbility.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/MBPArm.prefab,26,Megabyte Arm,一般部件或已有引用,3,GameObject/FinalBossPhase2.prefab; GameObject/MBChestData.prefab; GameObject/PsychicBoss.prefab
Resources/parts/bodyparts/MeteorHead.prefab,85,Neon Meteor Head,一般部件或已有引用,3,GameObject/Lvl1KachookFamily.prefab; GameObject/TournamentNPC_block.prefab; GameObject/riddleNPC.prefab
Resources/parts/bodyparts/MeteorLeg.prefab,86,Neon Meteor Leg,一般部件或已有引用,1,GameObject/Lvl1KachookFamily.prefab
Resources/parts/bodyparts/MineworkerHead.prefab,87,Blaster Head,一般部件或已有引用,1,GameObject/Lvl2KachookFamily.prefab
Resources/parts/bodyparts/MineworkerLeg.prefab,88,Capsule Leg,一般部件或已有引用,15,GameObject/Jumper.prefab; GameObject/LittleDyK 1.prefab; GameObject/LittleDyK 2.prefab; GameObject/LittleDyK 3.prefab; GameObject/LittleDyK 4.prefab; GameObject/LittleDyK 5.prefab; GameObject/LittleDyK 6.prefab; GameObject/LittleDyK 7.prefab; GameObject/LittleDyK 8.prefab; GameObject/LittleDyK.prefab; GameObject/Lvl2KachookFamily.prefab; GameObject/MiniMegac.prefab; GameObject/SpawnWrench.prefab; GameObject/littleNPC.prefab; GameObject/shop_helperNPC.prefab
Resources/parts/bodyparts/MinigunArm.prefab,146,Blunderblaster,一般部件或已有引用,3,GameObject/Lvl5CupidSteamFamily.prefab; GameObject/ShopAbility.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/MiniRocketChest.prefab,105,Missile Revolver Core,一般部件或已有引用,1,GameObject/ShopAbility.prefab
Resources/parts/bodyparts/MiniRocketHip.prefab,106,Shockboost Hip,一般部件或已有引用,1,GameObject/Lvl4CupidIceFamily.prefab
Resources/parts/bodyparts/miscArm_Blaster.prefab,27,Boom-blaster,一般部件或已有引用,20,GameObject/ArenaFighter3.prefab; GameObject/DefaultWachook.prefab; GameObject/DefaultWrench.prefab; GameObject/DrillWrench.prefab; GameObject/FightingSmith.prefab; GameObject/FrostWrench.prefab; GameObject/Leon.prefab; GameObject/LeonFight.prefab; GameObject/LeonNPC.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl0WrenchFamily.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/Lvl3BatFamily.prefab; GameObject/Lvl5FlyFamily.prefab; GameObject/PartChestData.prefab; GameObject/RareSoldier.prefab; GameObject/Smith.prefab; GameObject/SteamSoldierMinion.prefab; GameObject/rivalLvlNPC.prefab
Resources/parts/bodyparts/MPGuardArm.prefab,140,Shivatic,一般部件或已有引用,2,GameObject/LvlHidden_Guard.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/MPGuardChest.prefab,141,Guarding Chest,一般部件或已有引用,3,GameObject/Digger.prefab; GameObject/LvlHidden_Guard.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/MPGuardHead.prefab,142,Electro Kaiser,一般部件或已有引用,2,GameObject/LvlHidden_Guard.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/MPGuardHip.prefab,143,Hips of Truth,一般部件或已有引用,3,GameObject/LvlHidden_Guard.prefab; GameObject/ShopAbility.prefab; GameObject/Tank.prefab
Resources/parts/bodyparts/MPGuardLeg.prefab,144,Dub steps,一般部件或已有引用,3,GameObject/FinalBossPhase2.prefab; GameObject/LvlHidden_Guard.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/MPGuardShoulder.prefab,145,Barrage,一般部件或已有引用,2,GameObject/LvlHidden_Guard.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/PlateArm.prefab,130,Zylin Arm,一般部件或已有引用,9,GameObject/BuildDummy.prefab; GameObject/DamageMan.prefab; GameObject/FinalBossPhase2.prefab; GameObject/PartChestData.prefab; GameObject/PsychicBoss.prefab; GameObject/ShopAbility.prefab; GameObject/Tank.prefab; GameObject/clone.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/PlateChest.prefab,129,Zylin Chest,一般部件或已有引用,4,GameObject/BuildDummy.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/ShopAbility.prefab; GameObject/clone.prefab
Resources/parts/bodyparts/PlateHip.prefab,131,Zylin Hip,一般部件或已有引用,7,GameObject/BuildDummy.prefab; GameObject/PartChestData.prefab; GameObject/Player.prefab; GameObject/ShopAbility.prefab; GameObject/Skelly_Halloween.prefab; GameObject/clone.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/PlateLeg.prefab,132,Zylin Leg,一般部件或已有引用,7,GameObject/BombMan.prefab; GameObject/BuildDummy.prefab; GameObject/PartChestData.prefab; GameObject/Player.prefab; GameObject/ShopAbility.prefab; GameObject/clone.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/PlateShld.prefab,133,Zylin Mantle,一般部件或已有引用,4,GameObject/Elite.prefab; GameObject/PartChestData.prefab; GameObject/ShopAbility.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/PomusHead.prefab,112,Pomus Head,一般部件或已有引用,2,GameObject/Hermit.prefab; GameObject/Lvl5KachookFamily.prefab
Resources/parts/bodyparts/PomusLeg.prefab,113,Pomus Leg,一般部件或已有引用,2,GameObject/Lvl5CupidSteamFamily.prefab; GameObject/Lvl5KachookFamily.prefab
